id,mmsi,status,station,speed,lon,lat,course,heading,rot,timestamp,created_at,updated_at
1068,311040700,1314,158,34.32162,34.1324,284,284,,0,1372700160,,
1069,247039300,1315,152,16.7013,41.4029,125,124,,0,1372700460,,
1070,311040700,1316,157,34.31551,34.13373,284,283,,0,1372700040,,
1071,311040700,1317,156,34.30993,34.13492,284,283,,0,1372700460,,
1072,311040700,1318,156,34.30387,34.13622,284,284,,0,1372700520,,
1073,247039300,1319,155,16.72743,41.38932,123,124,,0,1372700100,,
1074,311040700,1320,155,34.29177,34.13882,284,284,,0,1372700460,,
1075,247039300,1321,156,16.73318,41.38643,123,124,,0,1372700100,,
1076,311040700,1322,156,34.27918,34.14157,284,284,,0,1372700280,,
1077,247039300,1323,157,16.76065,41.37258,123,124,,0,1372699980,,
1078,247039300,1324,157,16.77817,41.36395,123,124,,0,1372700160,,
1079,311040700,1325,152,34.23677,34.15066,284,284,,0,1372700520,,
1081,247039300,1327,156,16.7887,41.35867,123,124,,0,1372700100,,
1082,311040700,1328,152,34.22393,34.15343,284,284,,0,1372699980,,
1083,247039300,1329,156,16.79925,41.35332,124,124,,0,1372700460,,
1084,247039300,1330,156,16.80458,41.35058,123,124,,0,1372700460,,
1085,311040700,1331,153,34.19872,34.15887,284,284,,0,1372699740,,
1086,311040700,1332,154,34.18637,34.16156,284,284,,0,1372700580,,
1087,311040700,1333,154,34.1808,34.16277,284,284,,0,1372700100,,
1088,311040700,1334,154,34.17481,34.16411,284,283,,0,1372700100,,
1089,247039300,1335,156,16.8464,41.32902,124,125,,0,1372700340,,
1090,311040700,1336,154,34.16278,34.16673,285,284,,0,1372700400,,
1091,311040700,1338,155,34.14372,34.17096,284,284,,0,1372700520,,
1092,247039300,1340,154,16.87322,41.31488,124,124,,0,1372700460,,
1093,247039300,1341,155,16.87873,41.31192,125,124,,0,1372700160,,
1094,311040700,1342,155,34.12964,34.17393,283,283,,0,1372700280,,
1095,247039300,1343,154,16.89508,41.30317,125,124,,0,1372700460,,
1096,311040700,1344,155,34.09838,34.18037,283,283,,0,1372700460,,
1097,311040700,1345,155,34.09233,34.18164,284,283,,0,1372700340,,
1098,247039300,1346,154,16.92515,41.28702,125,124,,0,1372700520,,
1099,311040700,1347,155,34.08072,34.18402,284,283,,0,1372700220,,
1101,311040700,1350,156,34.06268,34.18819,290,290,,0,1372700520,,
1102,311040700,1351,154,34.05634,34.19005,288,287,,0,1372699980,,
1104,247039300,1353,155,16.96237,41.26692,125,123,,0,1372700280,,
